"","id","statusesCount","followersCount","favoritesCount","friendsCount","created","verified","relationship","cluster"
"272","88780259",27080,996,1688,1222,2009-11-09 22:29:35,FALSE,2,"4"
"273","107287570",16449,330,257,249,2010-01-22 02:47:45,FALSE,1,"4"
"274","107287570",16449,330,257,249,2010-01-22 02:47:45,FALSE,2,"4"
"275","2666232115",6,4,0,34,2014-07-21 15:43:14,FALSE,2,"2"
"276","35826071",33232,7205,5510,349,2009-04-27 19:01:00,FALSE,1,"4"
"277","107134389",6969,353,86,447,2010-01-21 17:04:01,FALSE,1,"4"
"278","107134389",6969,353,86,447,2010-01-21 17:04:01,FALSE,2,"4"
"279","38673878",128404,65343,468,36800,2009-05-08 14:20:32,FALSE,1,"1"
"280","38673878",128404,65343,468,36800,2009-05-08 14:20:32,FALSE,2,"1"
"281","116207838",30,58,0,118,2010-02-21 15:44:27,FALSE,1,"2"
"282","116207838",30,58,0,118,2010-02-21 15:44:27,FALSE,2,"2"
"283","522707069",151,781,1,1797,2012-03-13 00:17:02,FALSE,2,"3"
"284","2865662044",2,0,0,21,2014-11-07 13:39:44,FALSE,2,"2"
"285","197456911",6901,9983,107,5742,2010-10-01 15:11:54,FALSE,2,"1"
"286","1228312916",32349,1297376,157,105,2013-02-28 20:21:12,FALSE,1,"1"
"287","2567582426",59,53,1,25,2014-06-14 18:35:02,FALSE,1,"2"
"288","2598327541",170,1520,6,445,2014-07-01 17:31:45,FALSE,1,"3"
"289","144655345",1305,92,2,364,2010-05-16 23:34:13,FALSE,1,"3"
"290","144655345",1305,92,2,364,2010-05-16 23:34:13,FALSE,2,"3"
"291","154306011",3715,242,21,304,2010-06-10 22:32:25,FALSE,1,"3"
"292","154306011",3715,242,21,304,2010-06-10 22:32:25,FALSE,2,"3"
"293","145962607",190621,28404,4,7225,2010-05-20 08:34:47,FALSE,1,"1"
"294","172171682",45,116,16,167,2010-07-29 02:13:26,FALSE,2,"3"
"295","1877536490",104,341,3,1689,2013-09-18 01:16:16,FALSE,2,"3"
"296","203515318",1613,153,13,275,2010-10-16 13:10:58,FALSE,1,"3"
"297","203515318",1613,153,13,275,2010-10-16 13:10:58,FALSE,2,"3"
"298","277570925",67,162,0,172,2011-04-05 16:49:55,FALSE,2,"3"
"299","180505807",6042,38016860,76,2,2010-08-19 20:11:11,TRUE,1,"1"
"300","63222565",25112,9035,732,1988,2009-08-05 19:03:10,FALSE,1,"4"
"301","1074668461",353,328,45,578,2013-01-09 19:25:37,FALSE,2,"3"
"302","77038112",14678,76999,1187,24780,2009-09-24 20:41:08,FALSE,1,"1"
"303","76048238",2444,817,19,68,2009-09-21 15:06:59,FALSE,1,"3"
"304","319745121",2715,2454,243,332,2011-06-18 17:20:06,FALSE,1,"4"
"305","94173593",62686,19781,570,670,2009-12-02 20:54:33,FALSE,1,"1"
"306","898491",5053,73435,10,79226,2007-03-11 03:59:04,FALSE,1,"1"
"307","898491",5053,73435,10,79226,2007-03-11 03:59:04,FALSE,2,"1"
"308","404760414",176,57,54,153,2011-11-04 11:21:34,FALSE,2,"3"
"309","119488560",4254,1343,0,1369,2010-03-03 20:21:12,FALSE,1,"3"
"310","119488560",4254,1343,0,1369,2010-03-03 20:21:12,FALSE,2,"3"
"311","33884545",47415,9864264,1122,392,2009-04-21 12:14:47,TRUE,1,"1"
"312","545068604",219,79,5,173,2012-04-04 11:57:46,FALSE,2,"3"
"313","33905807",17580,3105212,42508,104911,2009-04-21 13:41:09,TRUE,1,"1"
"314","15846407",10262,41198844,218,39064,2008-08-14 03:50:42,TRUE,1,"1"
"315","452174846",6841,409,33,579,2012-01-01 14:23:04,FALSE,1,"4"
"316","452174846",6841,409,33,579,2012-01-01 14:23:04,FALSE,2,"4"
"317","71318604",32782,115220,1823,7140,2009-09-03 18:11:05,FALSE,1,"1"
"318","331948399",11,157,0,830,2011-07-09 00:03:25,FALSE,2,"2"
"319","29929963",12422,337,68,310,2009-04-09 05:32:45,FALSE,1,"4"
"320","29929963",12422,337,68,310,2009-04-09 05:32:45,FALSE,2,"4"
"321","64624775",5084,168,2043,134,2009-08-11 04:26:46,FALSE,1,"4"
"322","64624775",5084,168,2043,134,2009-08-11 04:26:46,FALSE,2,"4"
"323","73009932",14690,195,314,350,2009-09-10 01:38:23,FALSE,1,"4"
"324","73009932",14690,195,314,350,2009-09-10 01:38:23,FALSE,2,"4"
"325","133858301",72,58,8,237,2010-04-16 20:40:04,FALSE,2,"3"
"326","5414782",4095,6074,2,7180,2007-04-22 23:56:00,FALSE,1,"1"
"327","5414782",4095,6074,2,7180,2007-04-22 23:56:00,FALSE,2,"1"
"328","30061191",7877,388,669,659,2009-04-09 20:34:44,FALSE,1,"4"
"329","30061191",7877,388,669,659,2009-04-09 20:34:44,FALSE,2,"4"
"330","51813322",29929,1537,290,807,2009-06-28 19:20:19,FALSE,1,"4"
"331","178202885",63945,134383,9,121938,2010-08-14 03:46:11,FALSE,1,"1"
"332","178202885",63945,134383,9,121938,2010-08-14 03:46:11,FALSE,2,"1"
"333","146130732",355383,125629,24,28915,2010-05-20 17:28:55,FALSE,1,"1"
"334","146130732",355383,125629,24,28915,2010-05-20 17:28:55,FALSE,2,"1"
"335","173249870",14,59,0,295,2010-07-31 22:09:32,FALSE,2,"2"
"336","126725902",1553,36,0,136,2010-03-26 20:06:39,FALSE,2,"3"
"337","380179506",18250,2187,621,1526,2011-09-26 06:23:19,FALSE,1,"4"
"338","68448205",152088,391473,743,9067,2009-08-24 16:40:16,FALSE,1,"1"
"339","88737832",1473,255,106,777,2009-11-09 19:22:46,FALSE,2,"4"
"340","473398440",4,21490,11,48,2012-01-24 23:03:32,FALSE,1,"3"
"341","49159743",46035,2838,165,99,2009-06-20 23:37:08,FALSE,1,"4"
"342","36414477",9245,65911,0,113,2009-04-29 17:23:32,TRUE,1,"1"
"343","70502750",239947,59953,1,183,2009-08-31 21:16:17,FALSE,1,"1"
"344","177656790",193683,506750,1,5,2010-08-12 18:42:08,FALSE,1,"1"
"345","78197958",10747,454,141,732,2009-09-29 02:54:52,FALSE,1,"4"
"346","78197958",10747,454,141,732,2009-09-29 02:54:52,FALSE,2,"4"
"347","21506904",2563,913,0,492,2009-02-21 18:47:37,FALSE,1,"3"
"348","2569261",23959,165660,6017,673,2007-03-27 22:56:04,TRUE,1,"1"
"349","220145170",3599,118799,170,15,2010-11-26 22:33:41,FALSE,1,"1"
"350","926696402",765,363,81,341,2012-11-05 02:45:26,FALSE,2,"3"
"351","59479494",152950,1066,1208,885,2009-07-23 14:32:56,FALSE,1,"4"
"352","59479494",152950,1066,1208,885,2009-07-23 14:32:56,FALSE,2,"4"
"353","69481060",15196,461,54,558,2009-08-28 02:31:04,FALSE,1,"4"
"354","69481060",15196,461,54,558,2009-08-28 02:31:04,FALSE,2,"4"
"355","47415118",2492,2629,6,1254,2009-06-15 19:10:58,FALSE,2,"3"
"356","234500734",474,308,4,439,2011-01-05 20:27:33,FALSE,1,"3"
"357","234500734",474,308,4,439,2011-01-05 20:27:33,FALSE,2,"3"
"358","306535281",720,153,18,292,2011-05-28 01:46:48,FALSE,2,"3"
"359","30048176",71753,7031,136,4091,2009-04-09 19:28:08,FALSE,1,"1"
"360","491826452",6,447,6,822,2012-02-14 02:06:20,FALSE,2,"2"
"361","1253070590",1835,275,67,476,2013-03-09 00:39:52,FALSE,2,"4"
"362","85226674",8892,629,13,1084,2009-10-26 03:15:53,FALSE,1,"4"
"363","85226674",8892,629,13,1084,2009-10-26 03:15:53,FALSE,2,"4"
"364","99828167",16087,810,24,837,2009-12-28 01:36:39,FALSE,1,"4"
