"","id","statusesCount","followersCount","favoritesCount","friendsCount","created","verified","relationship","cluster"
"244","158861055",7.6685611080159,5.31811999384422,4.31748811353631,5.95583736946483,7.45766353935075,0,0.693147180559945,"4"
"245","148213718",9.19380440333608,13.3383646834999,3.58351893845611,6.70318811324086,7.47410255978344,0,0,"1"
"246","365405815",7.67878899819915,6.74405918631135,0,7.11232744471091,7.16973154157951,0,0.693147180559945,"3"
"247","88537980",12.0939560253753,11.5356160748899,3.2188758248682,7.1777824161952,7.58070249269924,0,0,"1"
"248","139210326",7.89245204352035,11.4291416012245,6.49375383985169,9.78740307351533,7.48775691633923,0,0,"1"
"249","139210326",7.89245204352035,11.4291416012245,6.49375383985169,9.78740307351533,7.48775691633985,0,0.693147180559945,"1"
"250","47029738",10.4547254869134,10.724148053395,4.35670882668959,10.5770695776012,7.65340471283078,0,0,"1"
"251","47029738",10.4547254869134,10.724148053395,4.35670882668959,10.5770695776012,7.65340471283127,0,0.693147180559945,"1"
"252","327529710",5.8805329864007,5.63121178182137,0,1.09861228866811,7.21539720428522,0,0,"3"
"253","76168396",8.53208180390999,8.98054977794018,5.48479693349065,9.0177260256968,7.60491346190626,0,0,"4"
"254","864888211",5.73009978297357,3.98898404656427,3.29583686600433,4.72738781871234,6.79941778100518,0,0.693147180559945,"3"
"255","114505584",7.7336835707759,5.47227067367148,3.46573590279973,6.00635315960173,7.52901642552159,0,0.693147180559945,"3"
"256","102480886",0.693147180559945,0,0,0,7.55018733061383,0,0,"2"
"257","102480886",0.693147180559945,0,0,0,7.55018733061438,0,0.693147180559945,"2"
"258","104082267",9.92900908976621,9.54316310009223,0,9.20321504703359,7.54736600229361,0,0,"1"
"259","104082267",9.92900908976621,9.54316310009223,0,9.20321504703359,7.54736600229422,0,0.693147180559945,"1"
"260","1732663279",9.32357976758269,7.6511201757027,0,2.70805020110221,6.33369485351237,0,0,"3"
"261","186298879",8.24617155985756,11.0970766321073,3.40119738166216,9.99592998792569,7.41570660288129,0,0,"1"
"262","186298879",8.24617155985756,11.0970766321073,3.40119738166216,9.99592998792569,7.4157066028819,0,0.693147180559945,"1"
"263","125815104",8.56483984488359,6.21260609575152,5.94542060860658,7.06987412845857,7.50933282489887,0,0.693147180559945,"4"
"264","80901604",10.4617595808881,7.35372233039963,8.4465561118168,7.57044325205737,7.59651272929783,0,0.693147180559945,"4"
"265","6776102",9.93595474267363,10.8373627671673,5.40267738187228,7.55433482372575,7.95159937129165,0,0,"1"
"266","6776102",9.93595474267363,10.8373627671673,5.40267738187228,7.55433482372575,7.95159937129205,0,0.693147180559945,"1"
"267","105667163",10.7287807915882,7.33498187887181,5.66642668811243,7.22983877815125,7.54478777218672,0,0,"4"
"268","105667163",10.7287807915882,7.33498187887181,5.66642668811243,7.22983877815125,7.54478777218728,0,0.693147180559945,"4"
"269","124848870",9.50218875329738,6.38687931936265,3.36729582998647,7.1785454837637,7.51106171805173,0,0,"4"
"270","124848870",9.50218875329738,6.38687931936265,3.36729582998647,7.1785454837637,7.51106171805233,0,0.693147180559945,"4"
"271","88780259",10.2065507270262,6.9037472575846,7.4312996751559,7.10824413973154,7.58021227093066,0,0,"4"
"272","88780259",10.2065507270262,6.9037472575846,7.4312996751559,7.10824413973154,7.58021227093123,0,0.693147180559945,"4"
"273","107287570",9.70801996407216,5.79909265446053,5.54907608489522,5.51745289646471,7.54214213886131,0,0,"4"
"274","107287570",9.70801996407216,5.79909265446053,5.54907608489522,5.51745289646471,7.54214213886195,0,0.693147180559945,"4"
"275","2666232115",1.79175946922805,1.38629436111989,0,3.52636052461616,5.49850731608355,0,0.693147180559945,"2"
"276","35826071",10.4112685461159,8.88253050843362,8.61431990214696,5.85507192220243,7.67563398894758,0,0,"4"
"277","107134389",8.84922702143852,5.8664680569333,4.45434729625351,6.10255859461357,7.54235706766564,0,0,"4"
"278","107134389",8.84922702143852,5.8664680569333,4.45434729625351,6.10255859461357,7.54235706766686,0,0.693147180559945,"4"
"279","38673878",11.7629368224007,11.0874055977833,6.14846829591765,10.513253124157,7.67060779137252,0,0,"1"
"280","38673878",11.7629368224007,11.0874055977833,6.14846829591765,10.513253124157,7.67060779137326,0,0.693147180559945,"1"
"281","116207838",3.40119738166216,4.06044301054642,0,4.77068462446567,7.5258157612729,0,0,"2"
"282","116207838",3.40119738166216,4.06044301054642,0,4.77068462446567,7.52581576127462,0,0.693147180559945,"2"
"283","522707069",5.01727983681492,6.66057514983969,0,7.49387388678356,7.00757360135129,0,0.693147180559945,"3"
"284","2865662044",0.693147180559945,0,0,3.04452243772342,4.90832730677679,0,0.693147180559945,"2"
