"","id","statusesCount","followersCount","favoritesCount","friendsCount","created","verified"
"338","144228206",0,2.56494935746154,0,2.56494935746154,7.47989459414063,0
"339","106063564",5.11198778835654,6.65286302935335,0,7.22475340576797,7.54396584694227,0
"340","140580278",1.6094379124341,1.79175946922805,0,1.09861228866811,7.48541878988637,0
"341","109640260",2.63905732961526,4.54329478227,1.94591014905531,5.30826769740121,7.53795193598741,0
"342","127071466",8.32385113133882,5.87211778947542,0,6.29710931993394,7.50702842781576,0
"343","137323964",5.61312810638807,5.54907608489522,0,7.55799495853081,7.49066717625001,0
"344","129561413",8.20767442435528,5.64544689764324,1.09861228866811,6.08449941307517,7.50274808650983,0
"345","130971174",6.1463292576689,7.76768727718691,0,7.92008319905323,7.50045059417252,0
"346","7490092",9.11646915636611,11.0499530586396,1.6094379124341,6.68835471394676,7.93988903412587,0
"347","87785755",7.61874237767041,5.68357976733868,2.83321334405622,6.28785856016178,7.58217480100365,0
"348","133640443",2.07944154167984,3.29583686600433,0,2.83321334405622,7.49633769186524,0
"349","133463208",2.39789527279837,2.70805020110221,0,2.56494935746154,7.49658648546741,0
"350","131589183",9.10764297373784,6.04025471127741,5.54126354515843,5.98896141688986,7.49942477644109,0
"351","131368100",4.56434819146784,4.59511985013459,1.38629436111989,4.85981240436167,7.49980269053418,0
"352","88780259",10.2065507270262,6.9037472575846,7.4312996751559,7.10824413973154,7.58011002679643,0
"353","131024733",4.30406509320417,4.99043258677874,0,5.32300997913841,7.50036734550275,0
"354","129237229",0,2.07944154167984,0,2.30258509299405,7.50334062151934,0
"355","130512183",10.4069864009157,6.39359075395063,5.62762111369064,6.04737217904628,7.5011875385577,0
"356","125457976",7.85166117788927,5.75257263882563,1.6094379124341,6.4118182677099,7.50980733226827,0
"357","117851604",7.21081845347222,5.62401750618734,0.693147180559945,5.94542060860658,7.52289537761247,0
"358","126832768",0,0,0,0,7.50748244697125,0
"359","97516624",8.50491816054062,5.20948615284142,3.87120101090789,5.31320597904179,7.56056846429257,0
"360","38673878",11.7629212464407,11.0873749895987,6.14846829591765,10.5130357092198,7.6705143846321,0
"361","124848870",9.50218875329738,6.38687931936265,3.36729582998647,7.1785454837637,7.51095215309511,0
"362","86636652",8.10922495308995,7.85088266480985,2.56494935746154,7.95997452808054,7.58463376133542,0
"363","51470149",8.57640505104808,8.70383871969025,3.68887945411394,7.97728198675515,7.64689227218676,0
"364","83962025",11.0907972959655,7.66528471847135,5.65599181081985,6.96790920180188,7.5902261677836,0
"365","33679546",9.59784515470735,6.98841318199959,4.91265488573605,6.66440902035041,7.67872854019301,0
"366","115366285",9.26586968176866,5.08140436498446,0,6.10255859461357,7.52739391404928,0
"367","31433872",8.95544812234739,10.2500515527241,4.91998092582813,8.536211197252,7.68116147917889,0
"368","116342629",9.60204456483431,8.51238163441901,3.3322045101752,7.6231530684769,7.52544201681695,0
"369","120568282",4.48863636973214,5.79301360838414,0,7.43720636687129,7.51854928808823,0
"370","102480886",0.693147180559945,0,0,0,7.55008196990787,0
"371","17156400",9.26955223160803,7.46106551435428,2.83321334405622,7.15929190479756,7.75327587634863,0
"372","47029738",10.4544373273863,10.7240380121294,4.35670882668959,10.5774009439808,7.65330968525044,0
"373","93244226",10.5462094829018,6.4393503711001,2.39789527279837,6.12468339089421,7.57042720322182,0
"374","116686842",0,3.66356164612965,0,5.58724865840025,7.52478930872065,0
"375","34159550",11.0421695528307,7.31588350450979,7.51806418123308,7.01571242048723,7.67816575791383,0
"376","5414782",8.31752199628717,8.71193726820875,0.693147180559945,8.87905466204227,7.96928318626708,0
"377","116207838",3.40119738166216,4.06044301054642,0,4.77068462446567,7.52570780106,0
"378","80901604",10.4617309706313,7.35372233039963,8.44677072711969,7.57044325205737,7.59641213837961,0
"379","115773698",7.44716835960004,5.72031177660741,3.93182563272433,6.99576615630485,7.52663683862272,0
"380","114910658",8.43554920237573,5.64190707093811,3.78418963391826,5.88610403145016,7.52819508983293,0
"381","95065841",9.62331057957012,5.95842469302978,4.11087386417331,5.80814248998044,7.56627572868379,0
"382","36189463",9.31695010703444,7.88833450073865,0.693147180559945,7.8808043446749,7.67502913884111,0
"383","112083250",5.29831736654804,4.40671924726425,3.17805383034795,5.45958551414416,7.53343713468011,0
"384","107152002",5.8406416573734,5.35185813347607,1.79175946922805,6.67203294546107,7.54222967646724,0
"385","103096565",2.39789527279837,3.40119738166216,0,3.68887945411394,7.54901317241166,0
"386","90928876",9.57164458429858,6.06378520868761,4.27666611901606,6.02586597382531,7.57558883590943,0
"387","95243887",2.56494935746154,7.37337430991005,0,7.63288550539513,7.56581794060315,0
"388","72586500",6.68210859744981,4.65396035015752,1.6094379124341,5.8111409929767,7.61140617582881,0
"389","99828167",9.68576677139031,6.69703424766648,3.17805383034795,6.72982407048948,7.55523257230132,0
"390","898491",8.52773740529191,11.2041695575801,2.30258509299405,11.2800598067578,7.98399095867108,0
"391","95242124",1.79175946922805,6.7719355558396,0,7.49720722320332,7.56582115321036,0
"392","95241936",2.83321334405622,7.37650812632622,0,7.5999019592085,7.56582150084289,0
"393","95242151",2.56494935746154,6.82979373751242,0,7.47986413116503,7.56582109327478,0
"394","52887468",5.71042701737487,3.29583686600433,0,4.17438726989564,7.64482796641375,0
"395","51927108",6.54965074223381,5.6970934865054,2.56494935746154,5.4510384535657,7.6461991608447,0
"396","75476835",8.67488046725183,5.86078622346587,3.49650756146648,6.06378520868761,7.6061774803525,0
"397","51300154",10.5695718135464,8.23403420769204,7.40671073017764,6.94022246911964,7.64718000092293,0
"398","95550943",10.9408979694778,10.3066500115816,6.45990445437753,9.60440743513198,7.56511944543158,0
"399","63565333",8.03915739047324,7.10002716662926,2.56494935746154,7.60140233458373,7.62746084394665,0
"400","6776102",9.93595474267363,10.8372448519089,5.40267738187228,7.55433482372575,7.95152884678934,0
"401","19415443",9.68489612456914,6.49828214947643,4.43081679884331,6.59304453414244,7.71818785072695,0
"402","49337388",0,4.47733681447821,0,6.50128967054039,7.64976220893595,0
"403","15846407",9.23610557986221,17.5336443504996,5.38449506278909,10.5729566057415,7.7880546140556,0.693147180559945
"404","11348282",10.4901624885856,16.0488495331215,6.18208490671663,5.44673737166631,7.88229004962217,0.693147180559945
"405","50393960",7.37713371283395,16.8532535432342,1.38629436111989,5.11198778835654,7.64826351650876,0.693147180559945
